"site_code","site_name","relationship","program","source_strength","editorial_group","decision","reason","history_review_status"
"C915237","432 Pearl Street","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915237","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"V00084","601 Amherst Street","within_1000_ft_of_dec_boundary","Voluntary Cleanup Program","insufficient_for_launch","v00084","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915282","73-79 W. Huron St.","point_inside_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915282","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915283","89 LaSalle Avenue Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","lasalle-reservoir","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915313","990 Niagara Street","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915313","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915007","Anaconda Company/American Brass","within_500_ft_of_dec_boundary","State Superfund Program            ","insufficient_for_launch","anaconda-aurubis","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"V00314","Aurubis Buffalo, Inc.","within_1000_ft_of_dec_boundary","Voluntary Cleanup Program","adequate_primary_record","anaconda-aurubis","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915402","Bailey and Kensington","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915402","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"V00734","Buffalo River - GLNPO Dredging Project","within_1000_ft_of_dec_boundary","Voluntary Cleanup Program","insufficient_for_launch","buffalo-river-dredging","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"915324","Buffalo River - GLNPO Dredging Project","within_1000_ft_of_dec_boundary","State Superfund Program            ","insufficient_for_launch","buffalo-river-dredging","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915195","Buffalo Urban Renewal Agency West Property","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915195","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915176","ChemCore","within_1000_ft_of_dec_boundary","State Superfund Program            ","strong_primary_record","915176","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915366","Ellicott and Oak Streets Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915366","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915194","Former Buffalo Service Station","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","buffalo-service-station-mgp","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915194A","Former Buffalo Service Station - OFF-SITE","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","buffalo-service-station-mgp","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915220","Former Pierce Arrow Manufacturing Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915362","Former Pilgrim Village Family Apartments","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","pilgrim-village-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915363","Former Pilgrim Village Senior Apartments","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","pilgrim-village-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915415","Former Pilgrim Village Sublot 3","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","pilgrim-village-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"915412","Former Sweet Kleen Site","within_1000_ft_of_dec_boundary","State Superfund Program            ","insufficient_for_launch","915412","hold_for_research","Accessible primary record does not yet support the required concise former-use and cleanup history.","held"
"915167","Fourth Street MGP Site","within_500_ft_of_dec_boundary","State Superfund Program            ","strong_primary_record","buffalo-service-station-mgp","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915210","Hertel Warehouse Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","main-hertel-corridor","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915400","Jefferson and Best Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915400","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915317","Jefferson Avenue Apartments","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915317","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915033","LaSalle Reservoir","within_500_ft_of_dec_boundary","State Superfund Program            ","existing_atlas_history","lasalle-reservoir","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915318","Main and Hertel","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","main-hertel-corridor","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915318A","Main and Hertel - Off-Site","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","existing_atlas_history","main-hertel-corridor","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"V00168","Main-LaSalle Revitalization Project","within_1000_ft_of_dec_boundary","Voluntary Cleanup Program","insufficient_for_launch","v00168","include_subject_to_history_summary","Official DEC investigation, soil-management, remediation specifications, and construction-monitoring records support a documented cleanup history.","pending_narrative_review"
"C915375","Michigan-Best Development","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915375","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915314","MOD-PAC CORP.","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915314","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915210","Morgan Materials (aka Hertel Warehouse)","within_1000_ft_of_dec_boundary","State Superfund Program            ","adequate_primary_record","main-hertel-corridor","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915377","Mt. Olive Senior Manor Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915377","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"V00362","NFG - Buffalo Service Center","within_500_ft_of_dec_boundary","Voluntary Cleanup Program","adequate_primary_record","buffalo-service-station-mgp","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"915144","Niagara Mohawk Dewey Ave. Service Sta.","within_1000_ft_of_dec_boundary","State Superfund Program            ","insufficient_for_launch","915144","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915211","NOCO #S41","within_500_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915211","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915312","Pierce Arrow Business Center","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","pierce-arrow-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915294","Pilgrim Village Redevelopment/Campus Square","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","insufficient_for_launch","pilgrim-village-complex","include_as_connected_record","Consolidate with related on-site/off-site, parcel, industrial-complex, or multi-program records to avoid duplicate stories.","pending_narrative_review"
"C915309","Silos at Elk Street Site","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","strong_primary_record","c915309","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915388","Simon Properties Northeast","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915388","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"915057","TRW (J.H. Williams Div.)","within_500_ft_of_dec_boundary","Resource Conservation and Recovery","insufficient_for_launch","915057","include_subject_to_history_summary","State open data records a 1982 remedial action and 2012 site characterization; retain with limited wording while additional primary history is sought.","pending_narrative_review"
"915165","Vibratech Inc.","within_1000_ft_of_dec_boundary","State Superfund Program            ","strong_primary_record","915165","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
"C915421","Voelkers Lanes Apartments","within_1000_ft_of_dec_boundary","Brownfield Cleanup Program","adequate_primary_record","c915421","include_subject_to_history_summary","Primary source set supports mission review; retain after concise history and status are verified.","pending_narrative_review"
